"","X.1","X","metabolite","feature_id","compound_superclass","molecular_formula","adduct","precursor_formula","npc_number_pathway","npc_number_pathway_probability","npc_number_superclass","npc_number_superclass_probability","npc_number_class","npc_number_class_probability","classy_fire_number_most_specific_class","classy_fire_number_most_specific_class_probability","gnps_cosine_score","gnps_mz_error_ppm","gnps_compound_name","gnps_compound_class","gnps_compound_subclass","coraldb_cosine_score","coraldb_mz_error_ppm","coraldb_compound_family","coraldb_compound_superclass","coraldb_compound_class","exact_mass","database","clusterIndex","refined_origin","compound_class","coraldb_compound_name","display_class","XGBoost_Importance","RandomForest_Importance","scler_ubiquity","non_scler_ubiquity","pepmass.x","RT","fatty_acid","compound_name","pepmass.y","LipidClass","total_ubiquity"
"8964",8964,8964,"x2827_692_41373_2_729",2827,"Unknown","C37H53N7O6","[M + H]+","C37H53N7O6","Unknown",0.555362343788147,"Unknown",0.560907304286957,"Unknown",0.229703396558762,"Unknown",0.793099582195282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symbiont","Unknown",NA,"Unknown",0,0,47.196261682243,10.2941176470588,NA,NA,NA,NA,NA,NA,38.556338028169
"8965",8965,8965,"x5346_541_3917_3_643",5346,"Eicosanoids","C31H53FO6","[M + H]+","C31H53FO6","Fatty acids",0.996901512145996,"Eicosanoids",0.964380979537964,"Prostaglandins",0.998712778091431,"Prostaglandins and related compounds",0.945524275302887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Prostaglandins",NA,"Other",0,0,33.1775700934579,22.7941176470588,NA,NA,NA,NA,NA,NA,30.4577464788732
"8966",8966,8966,"x25384_792_63232_12_067",25384,"Unknown","C46H83N5O4","[M + Na]+","C46H83N5O4","Amino acids and Peptides",0.915183842182159,"Unknown",0.766017019748688,"Lipopeptides",0.857314825057983,"Unknown",0.658398687839508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Lipopeptides",NA,"Other",0,0,23.5981308411215,31.6176470588235,NA,NA,NA,NA,792.6323,"PC",25.3521126760563
"8967",8967,8967,"x12772_489_41254_6_3",12772,"Unknown","C24H52N6O4","[M + H]+","C24H52N6O4","Unknown",0.0516609884798527,"Unknown",0.137278109788895,"Unknown",0.0264058373868465,"Unknown",0.644701540470123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,1.16822429906542,1.47058823529412,NA,NA,NA,NA,NA,NA,1.23239436619718
"8968",8968,8968,"x21454_536_46893_10_193",21454,"Unknown","C33H61NO4","[M + H]+","C33H61NO4","Unknown",0.364557355642319,"Unknown",0.564011454582214,"Open-chain polyketides",0.987474203109741,"Unknown",0.796106219291687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Open-chain polyketides",NA,"Other",0,0,34.8130841121495,8.82352941176471,NA,NA,NA,NA,NA,NA,28.3450704225352
"8969",8969,8969,"x40017_381_35127_16_247",40017,"Unknown","C28H44","[M + H]+","C28H44","Terpenoids",0.998350143432617,"Unknown",0.753733396530151,"Unknown",0.363457769155502,"Unknown",0.679054796695709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both","Unknown",NA,"Unknown",0,0,29.2056074766355,4.41176470588235,NA,NA,NA,NA,NA,NA,23.0633802816901
"8970",8970,8970,"x21759_838_59366_10_312",21759,"Glycerophospholipids","C45H86NO9P","[M + Na]+","C45H86NO9P","Fatty acids",0.999953985214233,"Glycerophospholipids",0.999857544898987,"Glycerophosphocholines",0.991674363613129,"Phosphatidylcholines",0.992215573787689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Glycerophosphocholines",NA,"Glycerophosphocholines",0,0,9.81308411214953,8.08823529411765,NA,NA,NA,NA,838.5937,"PC",9.33098591549296
"8971",8971,8971,"x15283_826_63169_7_411",15283,"Glycerophospholipids","C47H88NO8P","[M + H]+","C47H88NO8P","Fatty acids",0.999996900558472,"Glycerophospholipids",0.999927759170532,"Glycerophosphoethanolamines",0.998247623443604,"Dimethylphosphatidylethanolamines",0.999590337276459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","GPEtn",NA,"GPEtn",0,0,7.00934579439252,5.88235294117647,NA,NA,NA,NA,NA,NA,6.69014084507042
"8972",8972,8972,"x22097_549_48811_10_497",22097,"Unknown","C35H64O4","[M + H]+","C35H64O4","Unknown",0.709392070770264,"Unknown",0.300144761800766,"Unknown",0.175911530852318,"Fatty acid esters",0.876625180244446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,13.0841121495327,3.67647058823529,NA,NA,NA,NA,NA,NA,10.7394366197183
"8973",8973,8973,"x30826_764_64428_13_399",30826,"Unknown","C19H11Br5N2O5","[M + Na]+","C19H11Br5N2O5","Unknown",0.32922300696373,"Unknown",0.459073305130005,"Unknown",0.663761556148529,"Unknown",0.806075751781464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"Unknown",0,0,47.6635514018692,7.35294117647059,764.64428,13.399,"16:0",NA,NA,NA,37.6760563380282
