metabolite,pepmass,RT,fatty_acid,feature_id,compound_class,compound_name,molecular_formula,adduct,precursor_formula,npc_number_pathway,npc_number_pathway_probability,npc_number_superclass,npc_number_superclass_probability,npc_number_class,npc_number_class_probability,classy_fire_number_most_specific_class,classy_fire_number_most_specific_class_probability,gnps_cosine_score,gnps_mz_error_ppm,gnps_compound_name,gnps_compound_class,gnps_compound_subclass,coraldb_compound_family,coraldb_compound_superclass,coraldb_compound_class,coraldb_compound_name
x41674_864_83947_17_435,864.83947,17.435,18:0,41674,MADAG,MADAG(O-18:0/16:0/18:1) / (O-18:0/14:0/20:1) [M+NH4]+,C55H106O5,[M + H3N + H]+,C55H109NO5,Fatty acids,0.9998718500137328,Glycerolipids,0.9988569021224976,Triacylglycerols,0.9998249411582948,Triacylglycerols,0.9800185561180116,NA,NA,NA,NA,NA,Glycerolipid,Monoalkyldiacylglycerols,MADAG,MADAG(O-18:0/16:0/18:1) / (O-18:0/14:0/20:1) [M+NH4]+
x16802_356_35226_8_049,356.35226,8.049,18:0,16802,Unknown,NA,C22H45NO2,[M + H]+,C22H45NO2,Unknown,0.7277104258537292,Unknown,0.44460755586624146,Unknown,0.11199548840522766,Unknown,0.564515233039856,NA,NA,NA,NA,NA,NA,NA,NA,NA
x26568_660_5553_12_362,660.5553,12.362,18:0,26568,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x40408_878_8572_16_404,878.8572,16.404,18:0,40408,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x39590_982_88043_16_013,982.88043,16.013,18:0,39590,Triacylglycerols,NA,C63H115NO6,[M + H]+,C63H115NO6,Fatty acids,0.9999724626541138,Glycerolipids,0.9983443021774292,Triacylglycerols,0.9999842643737792,Triacylglycerols,0.9992777705192566,NA,NA,NA,NA,NA,NA,NA,NA,NA
x8157_653_47466_4_585,653.47466,4.585,18:0,8157,Unknown,NA,C36H64N2O8,[M + H]+,C36H64N2O8,Unknown,0.6815325021743774,Unknown,0.2227461338043213,Unknown,0.1589210480451584,Unknown,0.7284687757492065,NA,NA,NA,NA,NA,NA,NA,NA,NA
x8998_434_39937_4_917,434.39937,4.917,18:0,8998,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x36375_845_76909_14_804,845.76909,14.804,18:0,36375,Unknown,NA,C53H100N2O5,[M + H]+,C53H100N2O5,Fatty acids,0.9673259258270264,Unknown,0.5742733478546143,Unknown,0.40369975566864014,N-acyl amines,0.93704986572265625,NA,NA,NA,NA,NA,NA,NA,NA,NA
x29521_664_58531_13_119,664.58531,13.119,18:0,29521,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x8040_555_43913_4_537,555.43913,4.537,18:0,8040,Unknown,NA,C31H58N2O6,[M + H]+,C31H58N2O6,Unknown,0.8491856455802917,Unknown,0.4875433146953583,Unknown,0.5077962279319763,Unknown,0.7382363677024841,NA,NA,NA,NA,NA,NA,NA,NA,NA
x11686_462_43131_5_884,462.43131,5.884,18:0,11686,Unknown,NA,C30H55NO2,[M + H]+,C30H55NO2,Unknown,0.7508471012115479,Unknown,0.6895413994789124,Unknown,0.3643952012062073,Unknown,0.5002555847167969,NA,NA,NA,NA,NA,NA,NA,NA,NA
x40442_896_83014_16_446,896.83014,16.446,18:0,40442,Triacylglycerols,NA,C55H109NO7,[M + H]+,C55H109NO7,Fatty acids,0.999852418899536,Glycerolipids,0.9984429478645324,Triacylglycerols,0.999990463256836,Triacylglycerols,0.9998249411582948,NA,NA,NA,NA,NA,NA,NA,NA,NA
x22682_580_5311_10_836,580.5311,10.836,18:0,22682,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x32744_768_67366_13_842,768.67366,13.842,18:0,32744,Unknown,NA,C46H89NO7,[M + H]+,C46H89NO7,Fatty acids,0.9934564232826232,Unknown,0.725791871547699,Unknown,0.7245649099349976,N-acyl amines,0.9107678532600404,NA,NA,NA,NA,NA,NA,NA,NA,NA
x31196_726_62356_13_471,726.62356,13.471,18:0,31196,Triacylglycerols,NA,C43H83NO7,[M + H]+,C43H83NO7,Fatty acids,0.999935269355774,Glycerolipids,0.9198766350746156,Triacylglycerols,0.9868313074111938,Triacylglycerols,0.9137238264083862,NA,NA,NA,NA,NA,NA,NA,NA,NA
x7211_555_43924_4_337,555.43924,4.337,18:0,7211,Unknown,NA,C31H58N2O6,[M + H]+,C31H58N2O6,Unknown,0.7714534997940063,Unknown,0.3591800928115845,Unknown,0.3609350919723511,Unknown,0.6503084301948547,NA,NA,NA,NA,NA,NA,NA,NA,NA
x29598_642_57878_13_155,642.57878,13.155,18:0,29598,Unknown,NA,C42H75NO3,[M + H]+,C42H75NO3,Fatty acids,0.997026264667511,Unknown,0.47859683632850647,Unknown,0.3277614414691925,N-acyl amines,0.9940000772476196,NA,NA,NA,NA,NA,NA,NA,NA,NA
x31241_716_61788_13_504,716.61788,13.504,18:0,31241,Unknown,NA,NA,NA,NA,Unknown,NA,Unknown,NA,Unknown,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
