"","metabolite","feature_id","compound_superclass","molecular_formula","adduct","precursor_formula","npc_number_pathway","npc_number_pathway_probability","npc_number_superclass","npc_number_superclass_probability","npc_number_class","npc_number_class_probability","classy_fire_number_most_specific_class","classy_fire_number_most_specific_class_probability","gnps_cosine_score","gnps_mz_error_ppm","gnps_compound_name","gnps_compound_class","gnps_compound_subclass","coraldb_cosine_score","coraldb_mz_error_ppm","coraldb_compound_family","coraldb_compound_superclass","coraldb_compound_class","exact_mass","database","clusterIndex","refined_origin","compound_class","coraldb_compound_name"
"57","x40713_858_79187_16_592",40713,"Monoalkyldiacylglycerols",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,0.963022,2.2032,"Glycerolipid","Monoalkyldiacylglycerols","MADAG",858.79,"Niarox",118280,"Host","MADAG","MADAG(O-16:0/16:0/20:4) [M+NH4]+"
"58","x19970_750_54977_9_407",19970,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"59","x34772_648_7388_14_298",34772,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"60","x30257_695_55899_13_286",30257,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"61","x38690_910_8219_15_662",38690,"Monoalkyldiacylglycerols",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,0.768864,1.13919,"Glycerolipid","Monoalkyldiacylglycerols","MADAG",910.822935,"KARP",238567,"Host","MADAG","MADAG(56:6) [M+NH4]+"
"62","x30287_848_65893_13_29",30287,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Unknown",NA
"63","x40828_884_80748_16_617",40828,"Monoalkyldiacylglycerols",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,0.853296,0.413888,"Glycerolipid","Monoalkyldiacylglycerols","MADAG",884.807135,"KARP",239368,"Host","MADAG","MADAG(O-18:0/16:0/20:5) [M+NH4]+"
"64","x28474_866_66505_12_86",28474,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","PC(diacyl)","PC(42:4)"
"65","x27311_852_64963_12_553",27311,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","PC(diacyl)","PC(41:4)"
"66","x27604_822_63483_12_635",27604,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","PC(alkyl)","PC(O-40:5) [M+H]+"
"67","x11174_708_4958_5_756",11174,"Unknown",NA,NA,NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Host","Glycerophosphocholines",NA
