feature_id,pepmass,LipidClass,compound_class,coraldb_compound_name
15604,728.523,PC,Unknown,PC(32:23 [M+H]+
18107,828.6121,PC,Glycerophosphocholines,PC(O-38:4;O2) [M+H]+
1776,520.3399,PC,Lyso-PC(acyl),Lyso-PC(18:2) [M+H]+
22856,806.6053,PC,Glycerophosphocholines,PC(O-39:6) [M+H]+
16943,810.6024,PC,Glycerophosphocholines,PC(38:4) / PC(38:5;O) [M+H]+
18573,784.5856,PC,Unknown,PC(36:3) / PC(O-36:4;O) [M+H]+
11284,580.4342,PC,Lyso-PC(acyl),Lyso-PC(22:0) [M+H]+
27852,772.6232,PC,Unknown,PC(O-36:2) [M+H]+
21864,794.6002,PC,Glycerophosphocholines,PC(O-18:1/20:4) [M+H]+
2300,468.3453,PC,Lyso-PC(alkyl),Lyso-PC(O-15:0) [M+H]+
19600,812.6159,PC,Glycerophosphocholines,PC(38:3) / PC(38:4;O) [M+H]+
20780,716.5641,PC,Unknown,PC(O-32:2) [M+H]+
29246,800.6545,PC,Unknown,PC(O-38:2) [M+H]+
30478,828.6845,PC,Unknown,PC(O-40:2) [M+H]+
19040,756.5536,PC,Glycerophosphocholines,PC(34:3) [M+H]+
26842,798.6805,PC,Unknown,NA
28054,994.7272,PC,Glycerophosphocholines,NA
15749,794.5112,PC,Unknown,NA
4509,508.3759,PC,Lyso-PC(alkyl),Lyso-PC(O-18:1) [M+H]+
1181,468.3088,PC,Lyso-PC(acyl),Lyso-PC(14:0) [M+H]+
21726,784.5855,PC,Glycerophosphocholines,PC(36:3) / PC(O-36:4;O) [M+H]+
4031,494.361,PC,Lyso-PC(alkyl),Lyso-PC(O-17:1) [M+H]+
26548,746.6073,PC,Unknown,PC(O-34:1) [M+H]+
16223,1350.0769,PC,Unknown,NA
24180,862.6317,PC,Unknown,PC(42:6) [M+H]+
8288,918.6229,PC,Unknown,NA
6672,666.5085,PC,Unknown,NA
3141,548.3697,PC,Lyso-PC(acyl),Lyso-PC(20:2) [M+H]+
34263,960.6323,PC,Depsipeptides,NA
