metabolite,feature_id,compound_superclass,molecular_formula,adduct,precursor_formula,npc_number_pathway,npc_number_pathway_probability,npc_number_superclass,npc_number_superclass_probability,npc_number_class,npc_number_class_probability,classy_fire_number_most_specific_class,classy_fire_number_most_specific_class_probability,gnps_cosine_score,gnps_mz_error_ppm,gnps_compound_name,gnps_compound_class,gnps_compound_subclass,coraldb_cosine_score,coraldb_mz_error_ppm,coraldb_compound_family,coraldb_compound_superclass,coraldb_compound_class,exact_mass,database,clusterIndex,refined_origin,compound_class,coraldb_compound_name
x16767_900_63449_8_044,16767,Diacylglyceryl-carboxyhydroxymethylcholines,C48H89N3O10S,[M + H]+,C48H89N3O10S,Fatty acids,0.9735565185546876,Unknown,0.26157599687576294,Unknown,0.04717285931110382,Unknown,0.617431104183197,NA,NA,NA,NA,NA,0.91489,0.67769,Betaine Lipid,Diacylglyceryl-carboxyhydroxymethylcholines,DGCC,900.635119,KARP,109986,Symbiont,DGCC,DGCC(46:12) [M+H]+
x12027_526_38979_6_029,12027,Unknown,C33H51NO4,[M + H]+,C33H51NO4,Unknown,0.8018981218338013,Unknown,0.74314284324646,Unknown,0.4103771150112152,Unknown,0.7446187138557434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Unknown,NA
x556_722_42708_1_136,556,Unknown,C40H61NO9,[M + Na]+,C40H61NO9,Unknown,0.4767123460769654,Unknown,0.47979462146759033,Unknown,0.655428409576416,Steroidal alkaloids,0.9663251638412476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
x38737_879_81915_15_7,38737,Polyprenols,C59H106O4,[M + H]+,C59H106O4,Terpenoids,0.9999897480010986,Polyprenols,0.9856953024864196,Polyprenol derivatives,0.997204840183258,Unknown,0.5501638650894165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Polyprenol derivatives,NA
x36538_750_66269_14_844,36538,Glycerolipids,C46H87NO6,[M + H]+,C46H87NO6,Fatty acids,0.9988517761230468,Glycerolipids,0.9238288402557372,Triacylglycerols,0.996494472026825,Unknown,0.7998380064964294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Triacylglycerols,NA
x33710_562_59367_14_073,33710,Unknown,C38H75NO,[M + H]+,C38H75NO,Unknown,0.8296964168548584,Unknown,0.7769722938537598,Unknown,0.7467339634895325,N-acyl amines,0.8743525147438049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Unknown,NA
x5340_361_27367_3_683,5340,Unknown,C23H36O3,[M + H]+,C23H36O3,Unknown,0.8203554749488831,Unknown,0.8066394329071045,Unknown,0.6617368459701538,Fatty Acyls,0.8760808110237122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x9892_698_53789_5_215,9892,Unknown,C43H71NO6,[M + H]+,C43H71NO6,Fatty acids,0.989503026008606,Unknown,0.8015570640563965,Unknown,0.8194282054901123,Unknown,0.5418062806129456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x19982_722_55533_9_42,19982,Sphingolipids,C42H75NO8,[M + H]+,C42H75NO8,Fatty acids,0.9993721842765808,Sphingolipids,0.997623860836029,Neutral glycosphingolipids,0.9952419996261596,Glycosyl-N-acylsphingosines,0.8748123645782471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Neutral glycosphingolipids,NA
x28470_516_51464_12_856,28470,Fatty amides,C35H65NO,[M + H]+,C35H65NO,Fatty acids,0.9511743187904358,Fatty amides,0.9693362712860109,N-acyl amines,0.9118071794509888,N-acyl amines,0.850056529045105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,N-acyl amines,NA
x36597_1008_80355_14_875,36597,Glycerophospholipids,C59H110NO9P,[M + H]+,C59H110NO9P,Fatty acids,0.999991774559021,Glycerophospholipids,0.9999314546585084,Glycerophosphoethanolamines,0.972774624824524,Unknown,0.8113682270050049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Glycerophosphoethanolamines,NA
x15939_887_55497_7_648,15939,Unknown,C68H70,[M + H]+,C68H70,Terpenoids,0.9373403787612916,Unknown,0.5335478782653809,Unknown,0.26653456687927246,Unknown,0.6320128440856934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x24485_788_64118_11_752,24485,Unknown,C46H87NO7,[M + Na]+,C46H87NO7,Fatty acids,0.9831059575080872,Unknown,0.45490166544914246,Unknown,0.8047784566879272,Unknown,0.7389414310455322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x32690_893_76731_13_805,32690,Unknown,C64H96N2,[M + H]+,C64H96N2,Unknown,0.7840321660041809,Unknown,0.2360013872385025,Unknown,0.16525277495384216,Unknown,0.5985851287841797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x4595_774_50613_3_487,4595,Glycerophospholipids,C44H72NO8P,[M + H]+,C44H72NO8P,Fatty acids,0.9947667121887208,Glycerophospholipids,0.9997989535331726,Unknown,0.4479340612888336,Unknown,0.6479718089103699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Unknown,NA
x2333_432_36924_2_35,2333,Unknown,C24H49NO5,[M + H]+,C24H49NO5,Unknown,0.6357568502426147,Unknown,0.6940546631813049,Unknown,0.3264642059803009,Unknown,0.5741879343986511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
x31181_894_5794_13_5,31181,Oligopeptides,C45H77N9O8,[M + Na]+,C45H77N9O8,Amino acids and Peptides,0.9681562185287476,Oligopeptides,0.9508944153785706,Unknown,0.5738372802734375,Unknown,0.6241476535797119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x14300_742_59865_7_001,14300,Unknown,C46H79NO6,[M + H]+,C46H79NO6,Fatty acids,0.9601369500160216,Unknown,0.429926723241806,Unknown,0.2017596960067749,N-acyl amines,0.9766835570335388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Unknown,NA
x18730_794_55704_8_736,18730,Unknown,C41H80NO11P,[M + H]+,C41H80NO11P,Fatty acids,0.998469889163971,Unknown,0.5855583548545837,Unknown,0.3095689117908478,N-acyl amines,0.9886078834533693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x11437_872_56227_5_78,11437,Unknown,C47H75N7O7,[M + Na]+,C47H75N7O7,Amino acids and Peptides,0.9748627543449402,Unknown,0.7723586559295654,Unknown,0.39291509985923767,Unknown,0.8145714402198792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Host,Unknown,NA
x30570_764_65319_13_38,30570,Unknown,C48H87NO4,[M + Na]+,C48H87NO4,Fatty acids,0.9724571704864502,Unknown,0.645392119884491,Unknown,0.2041051685810089,Unknown,0.6289806962013245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x6226_784_57695_3_999,6226,Unknown,C51H75N3O2,[M + Na]+,C51H75N3O2,Unknown,0.711574137210846,Unknown,0.6654625535011292,Unknown,0.503904402256012,Benzene and substituted derivatives,0.8861391544342041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,Unknown,NA
x1347_345_24256_1_629,1347,Steroids,C22H32O3,[M + H]+,C22H32O3,Terpenoids,0.9896385669708252,Steroids,0.8698411583900452,Unknown,0.4711254835128784,Unknown,0.6752210855484009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x1245_346_27417_1_54,1245,Unknown,C22H35NO2,[M + H]+,C22H35NO2,Unknown,0.6740701794624329,Unknown,0.3958533704280853,Unknown,0.370305448770523,Unknown,0.5008319020271301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA
x32018_971_77166_13_689,32018,Unknown,C56H106O12,[M + H]+,C56H106O12,Unknown,0.7355824708938599,Unknown,0.5891972780227661,Polyprenol derivatives,0.9749364852905272,Unknown,0.5449553728103638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Polyprenol derivatives,NA
x8944_586_43283_4_879,8944,Unknown,C32H59NO8,[M + H]+,C32H59NO8,Terpenoids,0.8512182831764221,Unknown,0.2467479109764099,Unknown,0.18843132257461548,Unknown,0.5815110206604004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symbiont,Unknown,NA
