"percent_in_corals","metabolite","ubiquity_overall","avg_abundance","n_corals_present","n_corals_total"
13.5440180586907,"X1125",10.0502512562814,21649.1384606366,60,443
12.8668171557562,"X1207",9.54773869346734,1851.80023852596,57,443
12.4153498871332,"X1217",9.21273031825796,87392.4482144054,55,443
12.1896162528217,"X1181",9.04522613065327,5658.4404879397,54,443
11.9638826185102,"X1118",8.87772194304858,28984.9760768846,53,443
11.9638826185102,"X1241",8.87772194304858,2626.7841680067,53,443
9.70654627539503,"X523",7.20268006700168,541801.76443618,43,443
9.25507900677201,"X464",6.86767169179229,3213622.86923819,41,443
8.57787810383747,"X1240",6.36515912897822,50485.7394532666,38,443
7.67494356659142,"X1233",5.69514237855946,7230.66789296483,34,443
7.44920993227991,"X1199",5.52763819095477,11171.5968730318,33,443
7.2234762979684,"X492",5.36013400335008,1686603.59637353,32,443
6.99774266365688,"X469",5.19262981574539,173192.957743718,31,443
6.77200902934537,"X266",5.0251256281407,57356.6718961477,30,443
6.77200902934537,"X785",5.0251256281407,39243.0970251257,30,443
6.54627539503386,"X539",4.85762144053601,177444.509847571,29,443
6.54627539503386,"X471",4.85762144053601,120536.039325628,29,443
6.54627539503386,"X545",4.85762144053601,113353.058814573,29,443
6.54627539503386,"X1073",4.85762144053601,40511.4251490788,29,443
6.54627539503386,"X294",4.85762144053601,24520.2773433836,29,443
6.54627539503386,"X258",4.85762144053601,10423.1642830821,29,443
6.32054176072235,"X497",4.69011725293132,119824.803860972,28,443
6.32054176072235,"X1361",4.69011725293132,2865.32434505862,28,443
5.4176072234763,"X559",4.02010050251256,105865.665232831,24,443
5.4176072234763,"X1166",4.02010050251256,2051.43448609715,24,443
4.96613995485327,"X1336",3.68509212730318,2718.11362144055,22,443
4.74040632054176,"X698",3.51758793969849,157669.261172529,21,443
4.74040632054176,"X455",3.51758793969849,23999.0547497488,21,443
4.51467268623025,"X513",3.3500837520938,70460.5389195981,20,443
4.51467268623025,"X1031",3.3500837520938,7163.87085929645,20,443
4.28893905191874,"X745",3.18257956448911,285993.429922948,19,443
4.28893905191874,"X1121",3.18257956448911,2204.0896882747,19,443
4.28893905191874,"X1375",3.18257956448911,774.264190117256,19,443
4.06320541760722,"X501",3.01507537688442,818069.670909544,18,443
3.83747178329571,"X472",2.84757118927973,181468.396994974,17,443
3.83747178329571,"X465",2.84757118927973,89304.5565427139,17,443
3.83747178329571,"X343",2.84757118927973,41553.6420100504,17,443
3.83747178329571,"X1092",2.84757118927973,3365.37815477388,17,443
3.83747178329571,"X1157",2.84757118927973,2585.99164489114,17,443
3.6117381489842,"X541",2.68006700167504,47918.9214572864,16,443
3.38600451467269,"X486",2.51256281407035,17833.6968943049,15,443
3.38600451467269,"X228",2.51256281407035,4757.48476214406,15,443
3.38600451467269,"X1251",2.51256281407035,502.091770854272,15,443
3.16027088036117,"X426",2.34505862646566,94732.9288944725,14,443
2.93453724604966,"X1105",2.17755443886097,6239.72800000004,13,443
2.93453724604966,"X212",2.17755443886097,806.543978559464,13,443
2.93453724604966,"X1355",2.17755443886097,597.190414070349,13,443
2.70880361173815,"X320",2.01005025125628,68289.5823733672,12,443
2.70880361173815,"X521",2.01005025125628,20309.3401299832,12,443
2.70880361173815,"X1209",2.01005025125628,564.404530988273,12,443
2.48306997742664,"X446",1.84254606365159,79051.1795309883,11,443
2.48306997742664,"X506",1.84254606365159,57036.4429896151,11,443
2.48306997742664,"X324",1.84254606365159,17157.6164991626,11,443
2.48306997742664,"X485",1.84254606365159,4216.20946733667,11,443
2.48306997742664,"X232",1.84254606365159,3444.89328308209,11,443
2.48306997742664,"X226",1.84254606365159,1034.8217236181,11,443
2.48306997742664,"X1495",1.84254606365159,664.548696817419,11,443
1.8058690744921,"X1388",1.34003350083752,348.666559463986,8,443
1.8058690744921,"X1466",1.34003350083752,175.131332495813,8,443
1.58013544018059,"X1085",1.17252931323283,1142.38300301508,7,443
1.35440180586907,"X224",1.00502512562814,11542.1519748744,6,443
1.35440180586907,"X1087",1.00502512562814,2421.96919899499,6,443
1.35440180586907,"X1320",1.00502512562814,579.054137353432,6,443
1.35440180586907,"X1264",1.00502512562814,560.548370184252,6,443
1.35440180586907,"X1214",1.00502512562814,480.460315912894,6,443
1.35440180586907,"X1191",1.00502512562814,122.75678559464,6,443
1.12866817155756,"X337",0.83752093802345,20902.1658961473,5,443
1.12866817155756,"X1288",0.83752093802345,920.993765494134,5,443
1.12866817155756,"X1242",0.83752093802345,917.24639865997,5,443
1.12866817155756,"X1289",0.83752093802345,652.57106030151,5,443
1.12866817155756,"X1237",0.83752093802345,452.357500837518,5,443
1.12866817155756,"X418",0.83752093802345,417.851139028478,5,443
1.12866817155756,"X1421",0.83752093802345,349.527592964825,5,443
1.12866817155756,"X1164",0.83752093802345,286.550974874371,5,443
0.90293453724605,"X1281",0.67001675041876,24146.8741708541,4,443
0.90293453724605,"X1376",0.67001675041876,16312.7532663316,4,443
0.90293453724605,"X1444",0.67001675041876,15158.833835846,4,443
0.90293453724605,"X1089",0.67001675041876,14352.1867336683,4,443
0.90293453724605,"X1117",0.67001675041876,9634.67604690113,4,443
0.90293453724605,"X1058",0.67001675041876,5956.65428475714,4,443
0.90293453724605,"X1316",0.67001675041876,1103.02601675041,4,443
0.90293453724605,"X1374",0.67001675041876,656.084965326637,4,443
0.90293453724605,"X1360",0.67001675041876,239.779323953097,4,443
0.90293453724605,"X1292",0.67001675041876,170.721950921273,4,443
0.90293453724605,"X234",0.67001675041876,82.8310234505861,4,443
0.90293453724605,"X1091",0.67001675041876,61.7556737018428,4,443
0.677200902934537,"X419",0.50251256281407,16803.0038425461,3,443
0.677200902934537,"X323",0.50251256281407,6678.95052763819,3,443
0.677200902934537,"X1440",0.50251256281407,2078.77693467339,3,443
0.677200902934537,"X1065",0.50251256281407,1085.11848241205,3,443
0.677200902934537,"X1273",0.50251256281407,501.74884757119,3,443
0.677200902934537,"X243",0.50251256281407,379.802495812393,3,443
0.677200902934537,"X1287",0.50251256281407,357.305785594641,3,443
0.677200902934537,"X264",0.50251256281407,202.116727135678,3,443
0.677200902934537,"X1437",0.50251256281407,168.272924623114,3,443
0.451467268623025,"X319",0.33500837520938,544.869224455609,2,443
0.451467268623025,"X1243",0.33500837520938,400.44664321608,2,443
0.451467268623025,"X1151",0.33500837520938,79.8528107202679,2,443
0.225733634311512,"X500",0.16750418760469,20870.4941373535,1,443
0.225733634311512,"X712",0.16750418760469,18070.5303852597,1,443
0.225733634311512,"X1348",0.16750418760469,71.5998793969851,1,443
0.225733634311512,"X1327",0.16750418760469,29.1740335008376,1,443
0.225733634311512,"X342",0.16750418760469,14.7719614740369,1,443
0.225733634311512,"X1395",0.16750418760469,14.4272361809046,1,443
